iter	Passed	Remaining
0	0	84
1	1	77
2	2	75
3	2	69
4	3	69
5	4	69
6	5	68
7	5	68
8	6	68
9	7	68
10	8	69
11	9	70
12	10	71
13	11	70
14	12	70
15	13	70
16	14	69
17	15	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	63
23	19	62
24	20	61
25	21	60
26	22	59
27	22	58
28	23	58
29	24	57
30	25	57
31	26	56
32	27	55
33	28	55
34	29	54
35	30	54
36	31	53
37	32	52
38	33	51
39	34	51
40	34	50
41	35	48
42	36	47
43	36	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	43
49	42	42
50	43	41
51	43	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	36
57	48	35
58	49	34
59	50	33
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	28
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	76	9
89	77	8
90	77	7
91	78	6
92	79	5
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	84	0
99	85	0
